strike,option_type,moneyness,market_iv,sabr_iv,residual_vol_points,mid
716.0,put,-0.05817287425021356,0.183080207124962,0.1844558768836019,0.1375669758639897,4.6
717.0,put,-0.05685747323659651,0.1819403157454583,0.183376759923635,0.14364441781767046,4.71
718.0,put,-0.05554207222297958,0.1808280116189141,0.1822981992856227,0.1470187666708589,4.824999999999999
719.0,put,-0.05422667120936253,0.1797407082384945,0.1812202419768338,0.14795337383393115,4.945
720.0,put,-0.052911270195745486,0.1785372984368568,0.18014293808352447,0.1605639646667656,5.0600000000000005
721.0,put,-0.05159586918212844,0.1774263673241363,0.17906634094676152,0.16399736226252182,5.1850000000000005
722.0,put,-0.050280468168511505,0.1763351726506637,0.17799050734838792,0.165533469772422,5.3149999999999995
723.0,put,-0.04896506715489446,0.1751950806947234,0.17691549770767842,0.17204170129550278,5.445
724.0,put,-0.047649666141277414,0.1741374679323421,0.17584137628925567,0.17039083569135582,5.585
725.0,put,-0.04633426512766037,0.1730284374992622,0.174768211422857,0.17397739235948118,5.725
726.0,put,-0.04501886411404343,0.1718686257689464,0.1736960757355592,0.18274499666127986,5.865
727.0,put,-0.04370346310042639,0.1707839214929581,0.1726250463970832,0.18411249041251077,6.015000000000001
728.0,put,-0.04238806208680934,0.1696460630051456,0.1715552053788163,0.1909142373670708,6.165
729.0,put,-0.041072661073192296,0.1685775464855679,0.1704866397271979,0.19090932416300221,6.324999999999999
730.0,put,-0.03975726005957525,0.1675138146657708,0.1694194418521165,0.1905627186345682,6.49
731.0,put,-0.038441859045958315,0.166393681534584,0.16835370983097062,0.19600282963866122,6.654999999999999
732.0,put,-0.03712645803234127,0.1653934175090216,0.1672895477290382,0.1896130220016612,6.835
733.0,put,-0.035811057018724224,0.1642175737853098,0.16622706593678013,0.2009492151470338,7.005
734.0,put,-0.03449565600510718,0.1632136897472321,0.16516638152468532,0.19526917774532193,7.195
735.0,put,-0.03318025499149024,0.1621480330117883,0.1641076186162269,0.1959585604438624,7.385
736.0,put,-0.0318648539778732,0.1611325322150734,0.16305090877944872,0.19183765643753237,7.585
737.0,put,-0.030549452964256152,0.1600535093733466,0.16199639143763925,0.19428820642926614,7.785
738.0,put,-0.029234051950639106,0.1590202127796791,0.16094421429946917,0.19240015197900806,7.995
739.0,put,-0.02791865093702217,0.1579216418153121,0.15989453380885932,0.1972891993547221,8.205
740.0,put,-0.026603249923405126,0.1569709717799302,0.15884751561472604,0.18765438347958519,8.434999999999999
741.0,put,-0.02528784890978808,0.1559509731055691,0.157803335060585,0.18523619550158965,8.665
742.0,put,-0.023972447896171034,0.154966172609323,0.156762177693817,0.17960050844940123,8.905000000000001
743.0,put,-0.02265704688255399,0.1539104596645422,0.1557242397941636,0.18137801296214118,9.145
744.0,put,-0.021341645868937054,0.1529372531091567,0.1546897289207611,0.1752475811604398,9.4
745.0,put,-0.020026244855320008,0.1519916893843337,0.15365886447670699,0.16671750923732964,9.665
746.0,put,-0.018710843841702962,0.1509708018816591,0.15263187828978278,0.1661076408123685,9.93
747.0,put,-0.017395442828085916,0.1500238322565334,0.1516090152075424,0.1585182951009012,10.21
748.0,put,-0.01608004181446898,0.1490976822819743,0.15059053370447859,0.14928514225042988,10.5
749.0,put,-0.014764640800851936,0.1481899714115467,0.14957670649843008,0.13867350868833894,10.8
